id,area,feature,user_story,expected,source_refs,status,test_method,test_result,errors_found,fix_applied,retest_result
SHELL-01,App Shell,Global quit,"As a user on any screen, I want to press Q to quit so that I can exit quickly",Pressing q triggers the quit action and closes the app,app.py:38-39,Verified,code audit + pytest suite,PASS,,,PASS
SHELL-02,App Shell,Global help,"As a user, I want to open help from anywhere so that I can see keybindings",Pressing ? pushes HelpScreen onto the stack,app.py:40-47,Verified,code audit + pytest suite,PASS,,,PASS
SHELL-03,App Shell,Sidebar toggle,"As a user, I want to toggle the sidebar so that I gain horizontal space",Ctrl+B calls toggle_collapsed() on every Sidebar widget,app.py:41-53,Verified,code audit + pytest suite,PASS,,,PASS
SHELL-04,App Shell,Window title,"As a user, I want the header to show where I launched so that I know the working dir",Title 'Dispatch'; subtitle 'Impala jobs - {cwd}' truncated to 40 chars with leading ellipsis,app.py:64-76,Verified,code audit + pytest suite,PASS,,,PASS
SHELL-05,App Shell,Animation default off,"As an SSH user, I want minimal redraws so that the UI feels responsive","Unless TEXTUAL_ANIMATIONS is set, animation_level is 'none' at startup",app.py:58-62,Verified,code audit + pytest suite,PASS,,,PASS
SHELL-06,App Shell,Version mismatch warning,"As a user, I want to know when my install is stale so that I can re-run install","If installed_version != running __version__, persistent warning 'Version mismatch...'","app.py:79-81,170-177",Verified,code audit + pytest suite,PASS,,,PASS
SHELL-07,App Shell,Missing version file warning,"As a user with a broken install, I want a clear error so that I know to run install","If version file unreadable, persistent warning 'Install incomplete: version file missing...'",app.py:170-174,Verified,code audit + pytest suite,PASS,,,PASS
SHELL-08,App Shell,Dispatch home missing,"As a user without install, I want a startup error so that I know install is required","If dispatch_home() missing, persistent error 'Dispatch is not installed for this user...'",app.py:83-90,Verified,code audit + pytest suite,PASS,,,PASS
SHELL-09,App Shell,Startup route to Overview,"As a user launching Dispatch, I want to land on the jobs overview so that I supervise immediately",On mount DashboardScreen is pushed as the initial screen,app.py:93,Verified,code audit + pytest suite,PASS,,,PASS
SHELL-10,App Shell,Terminal too-small warning,"As a user on a tiny terminal, I want a warning so that I know layouts may break","On mount/resize if width<80 or height<24 and not already warned, 10s warning shows size and minimum","app.py:29-30,118-130",Verified,code audit + pytest suite,PASS,,,PASS
SHELL-11,App Shell,Kerberos TTL polling,"As a user, I want Kerberos expiry kept current so that launch guards stay accurate",On mount refresh once then every 60s set app kerberos_ttl from kerberos.ticket_ttl_seconds(),"app.py:94-95,132-134",Verified,code audit + pytest suite,PASS,,,PASS
SHELL-12,App Shell,Test prefill seam,"As a test harness, I want to open New Job pre-filled so that I can script launches",DISPATCH_TEST_PREFILL pointing to JSON dict opens NewJobScreen prefilled after first refresh,"app.py:96-116,212-214",Verified,code audit + pytest suite,PASS,,,PASS
SHELL-13,App Shell,Test prefill invalid file ignored,"As a test harness, I want bad prefill files ignored so that normal startup is not blocked",Unreadable/invalid JSON path logs a warning and startup continues without New Job,app.py:110-114,Verified,code audit + pytest suite,PASS,,,PASS
SHELL-14,App Shell,Command palette: Overview,"As a user, I want palette navigation to Overview so that I can return to the cockpit",System command 'Overview' calls open_top_level('overview'),app.py:136-143,Verified,code audit + pytest suite,PASS,,,PASS
SHELL-15,App Shell,Command palette: New Job,"As a user, I want palette navigation to New Job so that I can launch without keys",System command 'New Job' calls open_top_level('new_job'),app.py:144-147,Verified,code audit + pytest suite,PASS,,,PASS
SHELL-16,App Shell,Command palette: History,"As a user, I want palette navigation to History so that I find older jobs",System command 'History' calls open_top_level('history'),app.py:148-151,Verified,code audit + pytest suite,PASS,,,PASS
SHELL-17,App Shell,Command palette: Browse,"As a user, I want palette navigation to Browse so that I inspect Impala tables",System command 'Browse metadata' calls open_top_level('browse'),app.py:152-155,Verified,code audit + pytest suite,PASS,,,PASS
SHELL-18,App Shell,Command palette: kinit,"As a user, I want to refresh Kerberos from the palette so that I renew without leaving","Suspends UI, runs interactive kinit, refreshes TTL; notifies refreshed Nm or 'still missing'",app.py:156-168,Verified,code audit + pytest suite,PASS,,,PASS
